Name,Rarity,Type,Color,Cost,CostUpgrade,Desc,DescUpgrade
Dagger Spray,Common,Attack,Green,1,1,Deal 4 damage to ALL enemies twice.,Deal 6 damage to ALL enemies twice.
Dagger Throw,Common,Attack,Green,1,1,Deal 9 damage. Draw 1 card. Discard 1 card.,Deal 12 damage. Draw 1 card. Discard 1 card.
Deadly Poison,Common,Skill,Green,1,1,Apply 5 Poison .,Apply 7 Poison .
Deflect,Common,Skill,Green,0,0,Gain 4 Block .,Gain 7 Block .
Dodge and Roll,Common,Skill,Green,1,1,"Gain 4 Block . Next turn, gain 4 Block .","Gain 6 Block . Next turn, gain 6 Block ."
Flying Knee,Common,Attack,Green,1,1,"Deal 8 damage. Next turn, gain 1 Energy.","Deal 11 damage. Next turn, gain 1 Energy."
Outmaneuver,Common,Skill,Green,1,1,"Next turn, gain 2 Energy.","Next turn, gain 3 Energy."
Piercing Wail,Common,Skill,Green,1,1,ALL enemies lose 6 Strength this turn. Exhaust .,ALL enemies lose 8 Strength this turn. Exhaust .
Poisoned Stab,Common,Attack,Green,1,1,Deal 6 damage. Apply 3 Poison .,Deal 8 damage. Apply 4 Poison .
Prepared,Common,Skill,Green,0,0,Draw 1 card. Discard 1 card.,Draw 2 cards. Discard 2 cards.
Quick Slash,Common,Attack,Green,1,1,Deal 8 damage. Draw 1 card.,Deal 12 damage. Draw 1 card.
Slice,Common,Attack,Green,0,0,Deal 6 damage.,Deal 9 damage.
Sneaky Strike,Common,Attack,Green,2,2,"Deal 12 damage. If you have discarded a card this turn, gain 2 Energy.","Deal 16 damage. If you have discarded a card this turn, gain 2 Energy."
Sucker Punch,Common,Attack,Green,1,1,Deal 7 damage. Apply 1 Weak .,Deal 9 damage. Apply 2 Weak .
Accuracy,Uncommon,Power,Green,1,1,Shivs deal 4 additional damage.,Shivs deal 6 additional damage.
All-Out Attack,Uncommon,Attack,Green,1,1,Deal 10 damage to ALL enemies. Discard 1 card at random.,Deal 14 damage to ALL enemies. Discard 1 card at random.
Backstab,Uncommon,Attack,Green,0,0,Innate . Deal 11 damage. Exhaust .,Innate . Deal 15 damage. Exhaust .
Blur,Uncommon,Skill,Green,1,1,Gain 5 Block . Block is not removed at the start of your next turn.,Gain 8 Block . Block is not removed at the start of your next turn.
Bouncing Flask,Uncommon,Skill,Green,2,2,Apply 3 Poison to a random enemy 3 times.,Apply 3 Poison to a random enemy 4 times.
Calculated Gamble,Uncommon,Skill,Green,0,0,"Discard your hand, then draw that many cards. Exhaust .","Discard your hand, then draw that many cards."
Caltrops,Uncommon,Power,Green,1,1,"Whenever you are attacked, deal 3 damage back.","Whenever you are attacked, deal 5 damage back."
Catalyst,Uncommon,Skill,Green,1,1,Double the enemy's Poison . Exhaust .,Triple the enemy's Poison . Exhaust .
Choke,Uncommon,Attack,Green,2,2,"Deal 12 damage. Whenever you play a card this turn, the enemy loses 3 HP.","Deal 12 damage. Whenever you play a card this turn, the enemy loses 5 HP."
Concentrate,Uncommon,Skill,Green,0,0,Discard 3 cards. Gain 2 Energy.,Discard 2 cards. Gain 2 Energy.
Crippling Cloud,Uncommon,Skill,Green,2,2,Apply 4 Poison and 2 Weak to ALL enemies. Exhaust .,Apply 7 Poison and 2 Weak to ALL enemies. Exhaust .
Dash,Uncommon,Attack,Green,2,2,Gain 10 Block . Deal 10 damage.,Gain 13 Block . Deal 13 damage.
Distraction,Uncommon,Skill,Green,1,0,Add a random Skill into your hand. It costs 0 this turn. Exhaust .,Add a random Skill into your hand. It costs 0 this turn. Exhaust .
Endless Agony,Uncommon,Attack,Green,0,0,"Whenever you draw this card, add a copy of it into your hand. Deal 4 damage. Exhaust .","Whenever you draw this card, add a copy of it into your hand. Deal 6 damage. Exhaust ."
Escape Plan,Uncommon,Skill,Green,0,0,"Draw 1 card. If you draw a Skill, gain 3 Block .","Draw 1 card. If you draw a Skill, gain 5 Block ."
Eviscerate,Uncommon,Attack,Green,3,3,Costs 1 less Energy for each card discarded this turn. Deal 7 damage 3 times.,Costs 1 less Energy for each card discarded this turn. Deal 9 damage 3 times.
Expertise,Uncommon,Skill,Green,1,1,Draw cards until you have 6 in your hand.,Draw cards until you have 7 in your hand.
Finisher,Uncommon,Attack,Green,1,1,Deal 6 damage for each Attack played this turn.,Deal 8 damage for each Attack played this turn.
Flechettes,Uncommon,Attack,Green,1,1,Deal 4 damage for each Skill in your hand.,Deal 6 damage for each Skill in your hand.
Footwork,Uncommon,Power,Green,1,1,Gain 2 Dexterity .,Gain 3 Dexterity .
Heel Hook,Uncommon,Attack,Green,1,1,"Deal 5 damage. If the enemy has Weak , gain 1 Energy and draw 1 card.","Deal 8 damage. If the enemy has Weak , gain 1 Energy and draw 1 card."
Infinite Blades,Uncommon,Power,Green,1,1,"At the start of your turn, add a Shiv into your hand.","Innate . At the start of your turn, add a Shiv into your hand."
Leg Sweep,Uncommon,Skill,Green,2,2,Apply 2 Weak . Gain 11 Block .,Apply 3 Weak . Gain 14 Block .
Masterful Stab,Uncommon,Attack,Green,0,0,Costs 1 additional Energy for each time you lose HP this combat. Deal 12 damage.,Costs 1 additional Energy for each time you lose HP this combat. Deal 16 damage.
Noxious Fumes,Uncommon,Power,Green,1,1,"At the start of your turn, apply 2 Poison to ALL enemies.","At the start of your turn, apply 3 Poison to ALL enemies."
Predator,Uncommon,Attack,Green,2,2,"Deal 15 damage. Next turn, draw 2 additional cards.","Deal 20 damage. Next turn, draw 2 additional cards."
Reflex,Uncommon,Skill,Green,Unplayable,Unplayable,"Unplayable . If this card is discarded from your hand, draw 2 card.","Unplayable . If this card is discarded from your hand, draw 3 cards."
Riddle with Holes,Uncommon,Attack,Green,2,2,Deal 3 damage 5 times.,Deal 4 damage 5 times.
Setup,Uncommon,Skill,Green,1,0,Put a card from your hand on top of your draw pile. It costs 0 until played.,Put a card from your hand on top of your draw pile. It costs 0 until played.
Skewer,Uncommon,Attack,Green,X,X,Deal 7 damage X times.,Deal 10 damage X times.
Tactician,Uncommon,Skill,Green,Unplayable,Unplayable,"Unplayable . If this card is discarded from your hand, gain 1 Energy.","Unplayable . If this card is discarded from your hand, gain 2 Energy."
Terror,Uncommon,Skill,Green,1,0,Apply 99 Vulnerable . Exhaust .,Apply 99 Vulnerable . Exhaust .
Well-Laid Plans,Uncommon,Power,Green,1,1,"At the end of your turn, Retain up to 1 card.","At the end of your turn, Retain up to 2 cards."
A Thousand Cuts,Rare,Power,Green,2,2,"Whenever you play a card, deal 1 damage to ALL enemies.","Whenever you play a card, deal 2 damage to ALL enemies."
Adrenaline,Rare,Skill,Green,0,0,Gain 1 Energy. Draw 2 cards. Exhaust .,Gain 2 Energy. Draw 2 cards. Exhaust .
After Image,Rare,Power,Green,1,1,"Whenever you play a card, gain 1 Block .","Innate . Whenever you play a card, gain 1 Block ."
Alchemize,Rare,Skill,Green,1,0,Obtain a random potion. Exhaust .,Obtain a random potion. Exhaust .
Bullet Time,Rare,Skill,Green,3,2,You cannot draw additional cards this turn. Reduce the cost of all cards in your hand to 0 this turn.,You cannot draw additional cards this turn. Reduce the cost of all cards in your hand to 0 this turn.
Burst,Rare,Skill,Green,1,1,"This turn, your next Skill is played twice.","This turn, your next 2 Skills are played twice."
Corpse Explosion,Rare,Skill,Green,2,2,"Apply 6 Poison . When the enemy dies, deal damage equal to its max HP to ALL enemies.","Apply 9 Poison . When the enemy dies, deal damage equal to its max HP to ALL enemies."
Die Die Die,Rare,Attack,Green,1,1,Deal 13 damage to ALL enemies. Exhaust .,Deal 17 damage to ALL enemies. Exhaust .
Doppelganger,Rare,Skill,Green,X,X,"Next turn, draw X cards and gain X Energy. Exhaust .","Next turn, draw X+1 cards and gain X+1 Energy. Exhaust ."
Envenom,Rare,Power,Green,2,1,"Whenever an Attack deals unblocked damage, apply 1 Poison .","Whenever an Attack deals unblocked damage, apply 1 Poison ."
Glass Knife,Rare,Attack,Green,1,1,Deal 8 damage twice. Decrease the damage of this card by 2 this combat.,Deal 12 damage twice. Decrease the damage of this card by 2 this combat.
Grand Finale,Rare,Attack,Green,0,0,Can only be played if there are no cards in your draw pile. Deal 50 damage to ALL enemies.,Can only be played if there are no cards in your draw pile. Deal 60 damage to ALL enemies.
Malaise,Rare,Skill,Green,X,X,Enemy loses X Strength . Apply X Weak . Exhaust .,Enemy loses X+1 Strength . Apply X+1 Weak . Exhaust .
Nightmare,Rare,Skill,Green,3,2,"Choose a card. Next turn, add 3 copies of that card into your hand. Exhaust .","Choose a card. Next turn, add 3 copies of that card into your hand. Exhaust ."
Phantasmal Killer,Rare,Skill,Green,1,0,"Next turn, your Attacks deal double damage.","Next turn, your Attacks deal double damage."
Storm of Steel,Rare,Skill,Green,1,1,Discard your hand. Add 1 Shiv into your hand for each card discarded.,Discard your hand. Add 1 Shiv + into your hand for each card discarded.
Tools of the Trade,Rare,Power,Green,1,0,"At the start of your turn, draw 1 card and discard 1 card.","At the start of your turn, draw 1 card and discard 1 card."
Unload,Rare,Attack,Green,1,1,Deal 14 damage. Discard all non-Attack cards in your hand.,Deal 18 damage. Discard all non-Attack cards in your hand.
Wraith Form,Rare,Power,Green,3,3,"Gain 2 Intangible . At the end of your turn, lose 1 Dexterity .","Gain 3 Intangible . At the end of your turn, lose 1 Dexterity ."
Defend (Defect),Basic,Skill,Blue,1,1,Gain 5 Block .,Gain 8 Block .
Dualcast,Basic,Skill,Blue,1,0,Evoke your next Orb twice.,Evoke your next Orb twice.
Strike (Defect),Basic,Attack,Blue,1,1,Deal 6 damage.,Deal 9 damage.
Zap,Basic,Skill,Blue,1,0,Channel 1 Lightning .,Channel 1 Lightning .
Ball Lightning,Common,Attack,Blue,1,1,Deal 7 damage. Channel 1 Lightning .,Deal 10 damage. Channel 1 Lightning .
Barrage,Common,Attack,Blue,1,1,Deal 4 damage for each Channeled Orb.,Deal 6 damage for each Channeled Orb.
Beam Cell,Common,Attack,Blue,0,0,Deal 3 damage. Apply 1 Vulnerable .,Deal 4 damage. Apply 2 Vulnerable .
Charge Battery,Common,Skill,Blue,1,1,"Gain 7 Block . Next turn, gain 1 Energy.","Gain 10 Block . Next turn, gain 1 Energy."
Claw,Common,Attack,Blue,0,0,Deal 3 damage. Increase the damage of ALL Claw cards by 2 this combat.,Deal 5 damage. Increase the damage of ALL Claw cards by 2 this combat.
Cold Snap,Common,Attack,Blue,1,1,Deal 6 damage. Channel 1 Frost .,Deal 9 damage. Channel 1 Frost .
Compile Driver,Common,Attack,Blue,1,1,Deal 7 damage. Draw 1 card for each unique Orb you have.,Deal 10 damage. Draw 1 card for each unique Orb you have.
Coolheaded,Common,Skill,Blue,1,1,Channel 1 Frost . Draw 1 card.,Channel 1 Frost . Draw 2 cards.
Go for the Eyes,Common,Attack,Blue,0,0,"Deal 3 damage. If the enemy intends to attack, apply 1 Weak .","Deal 4 damage. If the enemy intends to attack, apply 2 Weak ."
Hologram,Common,Skill,Blue,1,1,Gain 3 Block . Put a card from your discard pile into your hand. Exhaust .,Gain 5 Block . Put a card from your discard pile into your hand.
Leap,Common,Skill,Blue,1,1,Gain 9 Block .,Gain 12 Block .
Rebound,Common,Attack,Blue,1,1,Deal 9 damage. Put the next card you play this turn on top of your draw pile.,Deal 12 damage. Put the next card you play this turn on top of your draw pile.
Recursion,Common,Skill,Blue,1,0,Evoke your next Orb. Channel the Orb that was just Evoked .,Evoke your next Orb. Channel the Orb that was just Evoked .
Stack,Common,Skill,Blue,1,1,Gain Block equal to the number of cards in your discard pile.,Gain Block equal to the number of cards in your discard pile+3.
Steam Barrier,Common,Skill,Blue,0,0,Gain 6 Block . Decrease this card's Block by 1 this combat.,Gain 8 Block . Decrease this card's Block by 1 this combat.
Streamline,Common,Attack,Blue,2,2,Deal 15 damage. Reduce this card's cost by 1 this combat.,Deal 20 damage. Reduce this card's cost by 1 this combat.
Sweeping Beam,Common,Attack,Blue,1,1,Deal 6 damage to ALL enemies. Draw 1 card.,Deal 9 damage to ALL enemies. Draw 1 card.
TURBO,Common,Skill,Blue,0,0,Gain 2 Energy. Add a Void into your discard pile.,Gain 3 Energy. Add a Void into your discard pile.
Aggregate,Uncommon,Skill,Blue,1,1,Gain 1 Energy for every 4 cards in your draw pile.,Gain 1 Energy for every 3 cards in your draw pile.
Auto-Shields,Uncommon,Skill,Blue,1,1,"If you have no Block , gain 11 Block .","If you have no Block , gain 15 Block ."
Blizzard,Uncommon,Attack,Blue,1,1,Deal damage equal to 2 times the number of Frost Channeled this combat to ALL enemies.,Deal damage equal to 3 times the number of Frost Channeled this combat to ALL enemies.
Boot Sequence,Uncommon,Skill,Blue,0,0,Innate . Gain 10 Block . Exhaust .,Innate . Gain 13 Block . Exhaust .
Bullseye,Uncommon,Attack,Blue,1,1,Deal 8 damage. Apply 2 Lock-On .,Deal 11 damage. Apply 3 Lock-On .
Capacitor,Uncommon,Power,Blue,1,1,Gain 2 Orb slots.,Gain 3 Orb slots.
Chaos,Uncommon,Skill,Blue,1,1,Channel 1 random Orb.,Channel 2 random Orbs.
Chill,Uncommon,Skill,Blue,0,0,Channel 1 Frost for each enemy in combat. Exhaust .,Innate . Channel 1 Frost for each enemy in combat. Exhaust .
Consume,Uncommon,Skill,Blue,2,2,Gain 2 Focus . Lose 1 Orb slot.,Gain 3 Focus . Lose 1 Orb slot.
Darkness,Uncommon,Skill,Blue,1,1,Channel 1 Dark .,Channel 1 Dark . Trigger the passive ability of ALL Dark orbs.
Defragment,Uncommon,Power,Blue,1,1,Gain 1 Focus .,Gain 2 Focus .
Doom and Gloom,Uncommon,Attack,Blue,2,2,Deal 10 damage to ALL enemies. Channel 1 Dark .,Deal 14 damage to ALL enemies. Channel 1 Dark .
Double Energy,Uncommon,Skill,Blue,1,0,Double your Energy . Exhaust .,Double your Energy . Exhaust .
Equilibrium,Uncommon,Skill,Blue,2,2,Gain 13 Block . Retain your hand this turn.,Gain 16 Block . Retain your hand this turn.
FTL,Uncommon,Attack,Blue,0,0,"Deal 5 damage. If you have played less than 3 cards this turn, draw 1 card.","Deal 6 damage. If you have played less than 4 cards this turn, draw 1 card."
Force Field,Uncommon,Skill,Blue,4,4,Costs 1 less Energy for each Power card played this combat. Gain 12 Block .,Costs 1 less Energy for each Power card played this combat. Gain 16 Block .
Fusion,Uncommon,Skill,Blue,2,1,Channel 1 Plasma .,Channel 1 Plasma .
Genetic Algorithm,Uncommon,Skill,Blue,1,1,Gain 1 Block . Permanently increase this card's Block by 2. Exhaust .,Gain 1 Block . Permanently increase this card's Block by 3. Exhaust .
Glacier,Uncommon,Skill,Blue,2,2,Gain 7 Block . Channel 2 Frost .,Gain 10 Block . Channel 2 Frost .
Heatsinks,Uncommon,Power,Blue,1,1,"Whenever you play a Power card, draw 1 card.","Whenever you play a Power card, draw 2 cards."
Hello World,Uncommon,Power,Blue,1,1,"At the start of your turn, add a random Common card into your hand.","Innate . At the start of your turn, add a random Common card into your hand."
Loop,Uncommon,Power,Blue,1,1,"At the start of your turn, trigger the passive ability of your next Orb 1 time.","At the start of your turn, trigger the passive ability of your next Orb 2 times."
Melter,Uncommon,Attack,Blue,1,1,Remove all Block from the enemy. Deal 10 damage.,Remove all Block from the enemy. Deal 14 damage.
Overclock,Uncommon,Skill,Blue,0,0,Draw 2 cards. Add a Burn into your discard pile.,Draw 3 cards. Add a Burn into your discard pile.
Recycle,Uncommon,Skill,Blue,1,0,Exhaust a card. Gain Energy equal to its cost.,Exhaust a card. Gain Energy equal to its cost.
Reinforced Body,Uncommon,Skill,Blue,X,X,Gain 7 Block X times.,Gain 9 Block X times.
Reprogram,Uncommon,Skill,Blue,1,1,Lose 1 Focus . Gain 1 Strength . Gain 1 Dexterity .,Lose 2 Focus . Gain 2 Strength . Gain 2 Dexterity .
Rip and Tear,Uncommon,Attack,Blue,1,1,Deal 7 damage to a random enemy twice.,Deal 9 damage to a random enemy twice.
Scrape,Uncommon,Attack,Blue,1,1,Deal 7 damage. Draw 4 cards. Discard all cards drawn this way that do not cost 0.,Deal 10 damage. Draw 5 cards. Discard all cards drawn this way that do not cost 0.
Self Repair,Uncommon,Power,Blue,1,1,"At the end of combat, heal 7 HP.","At the end of combat, heal 10 HP."
Skim,Uncommon,Skill,Blue,1,1,Draw 3 cards.,Draw 4 cards.
